pages.activeUser.activatingYourAcc,Tài khoản của bạn đang được kích hoạt...
pages.activeUser.activeMessage,Tài khoản của bạn đã được kích hoạt. Vui lòng kiểm tra email để biết thông tin đăng nhập.
pages.activeUser.activeWarning,Liên kết này đã hết hạn hoặc tài khoản của bạn đã được kích hoạt. Vui lòng tải lại hoặc kiểm tra email để biết thông tin đăng nhập.
pages.adminApp.legalBusinessName,Tên doanh nghiệp hợp pháp*
pages.adminApp.doingBusinessAs,Kinh doanh với tư cách (DBA)*
pages.adminApp.employerIdentificatioNumber,Số CCCD/CMND của nhân viên (EIN)*
pages.adminApp.sameAddress,Giống với địa chỉ trụ sở chính
pages.adminApp.workLocationMessage,"Thông tin này được sử dụng để phân công nhân viên đến đúng văn phòng. Chúng tôi cũng sẽ cho phép bạn phân công cho quản trị viên tại văn phòng, lọc nhân viên theo vị trí làm việc, xem báo cáo Doanh nghiệp thông minh. Bạn không cần phải thêm địa chỉ từ xa của bạn tại đây."
pages.adminApp.locationNotification,Đã cập nhật vị trí thành công.
pages.adminApp.nothingChangedNotification,Không có thay đổi.
pages.adminApp.whoYourNewAdmin,Ai là quản trị viên mới của bạn?
pages.adminApp.essentialsBundleMonthly,Gói Thiết Yếu đã thanh toán hằng tháng
pages.adminApp.moreInformation,Hãy liên hệ để biết thêm thông tin.
pages.adminApp.fLexbenBankAccount,Tài khoản ngân hàng Flexben
pages.adminApp.planTypeText,Gói Thiết Yếu bao gồm những phúc lợi liên quan đến:
pages.adminApp.integrationsInform,Ban có thể tích hợp API của bên thứ 3 để tận dụng tối đa Terramind và tối ưu quy trình làm việc của công ty.
pages.adminApp.legalBusinessNamePlaceHolder,Vui lòng nhập tên doanh nghiệp hợp pháp!
pages.adminApp.DBAPlaceHolder,Vui lòng nhập DBA!
pages.adminApp.EINPlaceHolder,Vui lòng nhập EIN!
pages.adminApp.companyDetails,Chi tiết công ty
pages.adminApp.workLocations,Vị trí làm việc
pages.adminApp.administrator,Quản trị viên
pages.adminApp.planInfo,Thông tin kế hoạch
pages.adminApp.billingPayments,Hoá đơn & Thanh toán
pages.adminApp.permission,Quyền hạn
pages.adminApp.integrations,Tích hợp
pages_admin.setting.title,Cài đặt
pages_admin.setting.RolesPermission,Vai trò & quyền hạn
pages_admin.setting.Department,Bộ phận
pages_admin.setting.Positions,Chức vụ
pages_admin.setting.Locations,Vị trí
pages_admin.setting.grades,Bậc lương
pages_admin.setting.grade,Bậc lương
pages_admin.setting.domain,Tên miền
pages_admin.setting.addRoleAndPermission,Thêm vai trò & quyền hạn
pages_admin.setting.roleId,ID vai trò
pages_admin.setting.description,Mô tả
pages_admin.setting.permissions,Quyền hạn
pages_admin.setting.permission,Quyền hạn
pages_admin.setting.action,Tách vụ
pages_admin.setting.sureMove,Bạn có chắc muốn xoá?
pages_admin.setting.edit,Chỉnh sửa
pages_admin.setting.addNew,Thêm mới
pages_admin.setting.rolePermission,Vai trò & quyền hạn
pages_admin.setting.roleName,Tên vai trò
pages_admin.setting.roleDescription,Mô tả về vai trò
pages_admin.setting.departmentId,ID bộ phận
pages_admin.setting.departmentName,Tên bộ phận
pages_admin.setting.departmentParentInfo,Phòng ban
pages_admin.setting.departmentParentName,Tên phòng ban
pages_admin.setting.hrPOC,Đầu mối liên hệ nhân sự
pages_admin.setting.financePOC,Đầu mối liên hệ tài chính
pages_admin.setting.financePointContact,Đầu mối liên hệ tài chính
pages_admin.setting.addDepartment,Thêm bộ phận
pages_admin.setting.department,Bộ phận
pages_admin.setting.hrPoint,Đầu mối liên hệ nhân sự
pages_admin.setting.typeToSearch,Nhập để tìm kiếm
pages_admin.setting.addDivision,Thêm bộ phận
pages_admin.setting.positionName,Tên chức vụ
pages_admin.setting.role,Vai trò
pages_admin.setting.roles,Vai trò
pages_admin.setting.gradeObj,Cấp bậc lương
pages_admin.setting.timeSheetRequired,Yêu cầu chấm công
pages_admin.setting.addPosition,Thêm chức vụ
pages_admin.setting.position,Chức vụ
pages_admin.setting.EligibleCompOff,Đủ điều kiện OT (overtime)
pages_admin.setting.simpleTimeSheet,Bảng chấm công đơn giản
pages_admin.setting.complexTimeSheet,Bảng chấm công phức tạp
pages_admin.setting.name,Tên
pages_admin.setting.addGrade,Thêm bậc lượng
pages_admin.setting.gradeName,Tên bậc lương
pages_admin.setting.addNewDomain,Thêm tên miền mới
pages_admin.setting.save,Lưu
pages_admin.setting.enterRoleId,Vui lòng nhập ID của vai trò
pages_admin.setting.enterRoleName,Vui lòng nhập vai trò
pages_admin.setting.enterRoleDescription,Vui lòng nhập mô tả về vai trò
pages_admin.setting.enterDepartmentName,Vui lòng nhập tên bộ phận
pages_admin.setting.existDepartmentName,Tên bộ phận không tồn tại !
pages_admin.setting.searchDepartment,Tìm kíếm bộ phận
pages_admin.setting.enterDepartment,Nhập tên bộ phận
pages_admin.setting.selectParentDepartment,Chọn phòng ban
pages_admin.setting.selectHrPoint,Vui lòng chọn đầu mối liên hệ nhân sự
pages_admin.setting.selectFinancePoint,Vui lòng chọn đầu mối liên hệ tài chính
pages_admin.setting.searchPosition,Chọn chức vụ
pages_admin.setting.pleaseSelectDepartmentName,Vui lòng chọn tên bộ phận
pages_admin.setting.selectDepartmentName,Chọn tên bộ phận
pages_admin.setting.enterPositionName,Vui lòng nhập chức vụ
